source,identifier,name,item_id,tag,code,correspondence_table
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A02-a,3次メッシュコード,0,DesignatedAreaTertiaryMesh,A02a_001,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A02-a,3次メッシュ面積,0,DesignatedAreaTertiaryMesh,A02a_002,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A02-a,農業地域の面積,0,DesignatedAreaTertiaryMesh,A02a_003,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A02-a,森林地域の面積,0,DesignatedAreaTertiaryMesh,A02a_004,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A02-a,都市計画区域面積,0,DesignatedAreaTertiaryMesh,A02a_005,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A02-a,用途地域面積,0,DesignatedAreaTertiaryMesh,A02a_006,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A02-a,市街化区域面積,0,DesignatedAreaTertiaryMesh,A02a_007,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A02-a,市街化調整区域面積,0,DesignatedAreaTertiaryMesh,A02a_008,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A02-a,自然公園地域面積（普通地域）,0,DesignatedAreaTertiaryMesh,A02a_009,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A02-a,自然公園地域面積（特別地域）,0,DesignatedAreaTertiaryMesh,A02a_010,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A02-a,自然公園地域面積（特別保護地区）,0,DesignatedAreaTertiaryMesh,A02a_011,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A02-a,自然公園地域面積（海中公園）,0,DesignatedAreaTertiaryMesh,A02a_012,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A02-a,自然環境保全地域面積（厚生自然環境）,0,DesignatedAreaTertiaryMesh,A02a_013,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A02-a,自然環境保全地域面積（立入規制地区）,0,DesignatedAreaTertiaryMesh,A02a_014,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A02-a,自然環境保全地域面積（普通地区）,0,DesignatedAreaTertiaryMesh,A02a_015,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A02-a,自然環境保全地域面積（特別地区）,0,DesignatedAreaTertiaryMesh,A02a_016,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A02-a,自然環境保全地域面積（野生動物保護）,0,DesignatedAreaTertiaryMesh,A02a_017,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A02-a,自然環境保全地域面積（海中特別地区）,0,DesignatedAreaTertiaryMesh,A02a_018,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A02-a,鳥獣保護区面積,0,DesignatedAreaTertiaryMesh,A02a_019,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A02-a,鳥獣特別保護地区面積,0,DesignatedAreaTertiaryMesh,A02a_020,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A02-a,国立公園面積（普通地域）,0,DesignatedAreaTertiaryMesh,A02a_021,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A02-a,国立公園面積（特別地域）,0,DesignatedAreaTertiaryMesh,A02a_022,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A02-a,国立公園面積（特別保護）,0,DesignatedAreaTertiaryMesh,A02a_023,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A02-a,国立公園面積（海中公園）,0,DesignatedAreaTertiaryMesh,A02a_024,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A02-a,特別保護地区面積（普通地域）,0,DesignatedAreaTertiaryMesh,A02a_025,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A02-a,特別保護地区面積（特別地域）,0,DesignatedAreaTertiaryMesh,A02a_026,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A02-a,特別保護地区面積（特別保護）,0,DesignatedAreaTertiaryMesh,A02a_027,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A02-a,特別保護地区面積（海中公園）,0,DesignatedAreaTertiaryMesh,A02a_028,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A02-a,都道府県立公園（普通地域）,0,DesignatedAreaTertiaryMesh,A02a_029,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A02-a,都道府県立公園（特別地域）,0,DesignatedAreaTertiaryMesh,A02a_030,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A02-a,都道府県立公園（特別保護）,0,DesignatedAreaTertiaryMesh,A02a_031,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A02-a,都道府県立公園（海中公園）,0,DesignatedAreaTertiaryMesh,A02a_032,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A02-b,1/10細分メッシュコード,0,DesignatedAreaSubdivisionMesh,A02b_001,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A02-b,都市計画区域,0,DesignatedAreaSubdivisionMesh,A02b_002,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A02-b,自然公園,0,DesignatedAreaSubdivisionMesh,A02b_003,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A02-b,自然環境保全,0,DesignatedAreaSubdivisionMesh,A02b_004,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A02-b,農業地域指定,0,DesignatedAreaSubdivisionMesh,A02b_005,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A02-b,森林地域指定,0,DesignatedAreaSubdivisionMesh,A02b_006,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A03,行政区域コード,0,ThreeMajorMetroPlanArea,A03_001,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A03,都道府県名,0,ThreeMajorMetroPlanArea,A03_002,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A03,郡市名,0,ThreeMajorMetroPlanArea,A03_003,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A03,区町村名,0,ThreeMajorMetroPlanArea,A03_004,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A03,陸水等区分,0,ThreeMajorMetroPlanArea,A03_005,A03_005
