identifier,text,link_label,url_basename,url_fullname
A09,コードリスト「都道府県コード」　,都道府県コード,PrefCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/PrefCd.html
A09,コードリスト「支庁区分コード」　,支庁区分コード,SubprefectureNameCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/SubprefectureNameCd.html
A09,コードリスト「都市地域区分コード」　,都市地域区分コード,UrbanPlanningAreaCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/UrbanPlanningAreaCd.html
A10,コードリスト「都道府県コード」　,都道府県コード,PrefCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/PrefCd.html
A10,コードリスト「支庁区分コード」　,支庁区分コード,SubprefectureNameCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/SubprefectureNameCd.html
A10,コードリスト「自然公園地域区分コード」　,自然公園地域区分コード,NaturalParkAreaCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/NaturalParkAreaCd.html
A11,コードリスト「都道府県コード」　,都道府県コード,PrefCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/PrefCd.html
A11,コードリスト「支庁区分コード」　,支庁区分コード,SubprefectureNameCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/SubprefectureNameCd.html
A11,コードリスト「自然保全地域区分コード」　,自然保全地域区分コード,NatureConservationAreaCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/NatureConservationAreaCd.html
A12,コードリスト「都道府県コード」,都道府県コード,PrefCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/PrefCd.html
A12,コードリスト「支庁区分コード」,支庁区分コード,SubprefectureNameCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/SubprefectureNameCd.html
A12,コードリスト「農業地域区分コード」,農業地域区分コード,AgriculturalAreaCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/AgriculturalAreaCd.html
A13,コードリスト「都道府県コード」,都道府県コード,PrefCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/PrefCd.html
A13,コードリスト「支庁区分コード」,支庁区分コード,SubprefectureNameCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/SubprefectureNameCd.html
A13,コードリスト「森林地域区分コード」,森林地域区分コード,ForestAreaCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/ForestAreaCd.html
A15,コードリスト「都道府県コード」,都道府県コード,PrefCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/PrefCd.html
A16,コードリスト「都道府県コード」,都道府県コード,PrefCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/PrefCd.html
A17,コードリスト「過疎区分コード」,過疎区分コード,KasoCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/KasoCd.html
A19,コードリスト「都道府県コード」,都道府県コード,PrefCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/PrefCd.html
A19,コードリスト「支庁区分コード」,支庁区分コード,SubprefectureNameCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/SubprefectureNameCd.html
A19,コードリスト「離島区分コード」,離島区分コード,RitoCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/RitoCd.html
A20,コードリスト「都道府県コード」,都道府県コード,PrefCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/PrefCd.html
A20,コードリスト「支庁区分コード,支庁区分コード,SubprefectureNameCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/SubprefectureNameCd.html
A21,コードリスト「都道府県コード」,都道府県コード,PrefCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/PrefCd.html
A21,コードリスト「支庁区分コード」,支庁区分コード,SubprefectureNameCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/SubprefectureNameCd.html
A22-m,コードリスト「位置特定レベル」,位置特定レベル,PosSpecificLevel.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/PosSpecificLevel.html
A22-m,コードリスト「集計単位フラグ」,集計単位フラグ,AggregateUnitFlag.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/AggregateUnitFlag.html
A22-m,コードリスト「集計単位フラグ」,集計単位フラグ,AggregateUnitFlag.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/AggregateUnitFlag.html
A22-m,コードリスト「位置特定レベル」,位置特定レベル,PosSpecificLevel.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/PosSpecificLevel.html
A22,コードリスト「都道府県コード」,都道府県コード,PrefCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/PrefCd.html
A22,コードリスト「支庁区分コード」,支庁区分コード,SubprefectureNameCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/SubprefectureNameCd.html
