html_file,table_num,属性名,説明,属性の型
KsjTmplt-A03.html,1,範囲,NA,曲面型（GM_Surface）
KsjTmplt-A03.html,1,行政区域コード,都道府県コードと市区町村コードからなる、行政区を特定するためのコード。,"コードリスト「行政コード」
      ※海上は""99999""とする。"
KsjTmplt-A03.html,1,都道府県名,当該行政区の都道府県の名称。,文字列型
KsjTmplt-A03.html,1,郡市名,当該行政区の郡市の名称。,文字列型
KsjTmplt-A03.html,1,区町村名,当該行政区の区町村の名称。,文字列型
KsjTmplt-A03.html,1,陸水等区分,NA,列挙型（陸地、湖沼、湖沼内の島、海上）
KsjTmplt-A03.html,1,区域区分,NA,"コードリスト「区域区分」
      ※首都圏、中部圏、近畿圏でコードが異なる。"
KsjTmplt-A03.html,1,区域コード,NA,"コードリスト「区域コード」
      ※首都圏、中部圏、近畿圏でコードが異なる。"
KsjTmplt-A03.html,1,備考,NA,文字列型
KsjTmplt-A09.html,1,範囲,都市地域として定義された領域。,曲面型（GM_Surface）
KsjTmplt-A09.html,1,都道府県コード,都道府県を一意に識別するために付された番号。,コードリスト「都道府県コード」
KsjTmplt-A09.html,1,支庁区分コード,支庁区域を一意に識別するために付された番号。,コードリスト「支庁区分コード」
KsjTmplt-A09.html,1,都市地域区分コード,都市地域を一意に識別するために付された番号。,コードリスト「都市地域区分コード」
KsjTmplt-A10-v3_1.html,1,範囲,自然公園地域として定義された領域。,曲面型（GM_Surface）
KsjTmplt-A10-v3_1.html,1,都道府県コード,都道府県を一意に識別するために付された番号。,コードリスト「都道府県コード」
KsjTmplt-A10-v3_1.html,1,支庁区分コード,支庁区域を一意に識別するために付された番号。,コードリスト「支庁区分コード」
KsjTmplt-A10-v3_1.html,1,自然公園地域区分コード,自然公園地域を一意に識別するために付された番号。,コードリスト「自然公園地域区分コード」
KsjTmplt-A11.html,1,範囲,自然保全地域として定義された領域。,曲面型（GM_Surface）
KsjTmplt-A11.html,1,都道府県コード,都道府県を一意に識別するために付された番号。,コードリスト「都道府県コード」
KsjTmplt-A11.html,1,支庁区分コード,支庁区域を一意に識別するために付された番号。,コードリスト「支庁区分コード」
KsjTmplt-A11.html,1,自然保全地域区分コード,自然保全地域を一意に識別するために付された番号。,コードリスト「自然保全地域区分コード」
KsjTmplt-A12.html,1,範囲,農業地域として定義された領域。,曲面型（GM_Surface）
